date,home.team,home.score,away.team,away.score
18/08/2017,Leganes,1,Alaves,0
18/08/2017,Valencia,1,Las Palmas,0
19/08/2017,Celta,2,Sociedad,3
19/08/2017,Girona,2,Ath Madrid,2
19/08/2017,Sevilla,1,Espanol,1
20/08/2017,Ath Bilbao,0,Getafe,0
20/08/2017,Barcelona,2,Betis,0
20/08/2017,La Coruna,0,Real Madrid,3
21/08/2017,Levante,1,Villarreal,0
21/08/2017,Malaga,0,Eibar,1
25/08/2017,Betis,2,Celta,1
25/08/2017,Sociedad,3,Villarreal,0
26/08/2017,Alaves,0,Barcelona,2
26/08/2017,Girona,1,Malaga,0
26/08/2017,Las Palmas,1,Ath Madrid,5
26/08/2017,Levante,2,La Coruna,2
27/08/2017,Eibar,0,Ath Bilbao,1
27/08/2017,Espanol,0,Leganes,1
27/08/2017,Getafe,0,Sevilla,1
27/08/2017,Real Madrid,2,Valencia,2
08/09/2017,Leganes,1,Getafe,2
09/09/2017,Barcelona,5,Espanol,0
09/09/2017,Real Madrid,1,Levante,1
09/09/2017,Sevilla,3,Eibar,0
09/09/2017,Valencia,0,Ath Madrid,0
10/09/2017,Ath Bilbao,2,Girona,0
10/09/2017,Celta,1,Alaves,0
10/09/2017,La Coruna,2,Sociedad,4
10/09/2017,Villarreal,3,Betis,1
11/09/2017,Malaga,1,Las Palmas,3
15/09/2017,Eibar,1,Leganes,0
16/09/2017,Ath Madrid,1,Malaga,0
16/09/2017,Betis,2,La Coruna,1
16/09/2017,Getafe,1,Barcelona,2
16/09/2017,Levante,1,Valencia,1
17/09/2017,Alaves,0,Villarreal,3
17/09/2017,Girona,0,Sevilla,1
17/09/2017,Las Palmas,1,Ath Bilbao,0
17/09/2017,Sociedad,1,Real Madrid,3
18/09/2017,Espanol,2,Celta,1
19/09/2017,Barcelona,6,Eibar,1
19/09/2017,Valencia,5,Malaga,0
20/09/2017,Ath Bilbao,1,Ath Madrid,2
20/09/2017,La Coruna,1,Alaves,0
20/09/2017,Leganes,0,Girona,0
20/09/2017,Real Madrid,0,Betis,1
20/09/2017,Sevilla,1,Las Palmas,0
21/09/2017,Celta,1,Getafe,1
21/09/2017,Levante,3,Sociedad,0
21/09/2017,Villarreal,0,Espanol,0
23/09/2017,Alaves,1,Real Madrid,2
23/09/2017,Ath Madrid,2,Sevilla,0
23/09/2017,Girona,0,Barcelona,3
23/09/2017,Malaga,3,Ath Bilbao,3
